Occasion,Int1,Int2,Int3,Int4,Int5,Run,Block,Plot,Depth,Sample,Tillage,Method,Gini
1,1,1,1,1,1,1,1,1,1,1,1,1,0.66541006
1,1,1,1,1,2,2,1,1,1,1,1,1,0.65320988
1,1,1,1,2,1,3,1,2,1,1,2,1,0.66220373
1,1,1,1,2,2,4,1,2,1,1,2,1,0.64456536
1,1,1,2,1,1,5,1,1,1,2,1,2,0.66444607
1,1,1,2,1,2,6,1,1,1,2,1,2,0.66444607
1,1,1,2,2,1,7,1,2,1,2,2,2,0.64901943
1,1,1,2,2,2,8,1,2,1,2,2,2,0.68236553
1,1,2,1,1,1,9,1,1,2,1,1,1,0.71445132
1,1,2,1,1,2,10,1,1,2,1,1,1,0.68638384
1,1,2,1,2,1,11,1,2,2,1,2,1,0.66999423
1,1,2,1,2,2,12,1,2,2,1,2,1,0.68366774
1,1,2,2,1,1,13,1,1,2,2,1,2,0.72040127
1,1,2,2,1,2,14,1,1,2,2,1,2,0.72415736
1,1,2,2,2,1,15,1,2,2,2,2,2,0.70483885
1,1,2,2,2,2,16,1,2,2,2,2,2,0.71516413
1,2,1,1,1,1,1,2,1,1,1,1,1,0.64424303
1,2,1,1,1,2,2,2,1,1,1,1,1,0.6349446
1,2,1,1,2,1,3,2,2,1,1,2,1,0.63896471
1,2,1,1,2,2,4,2,2,1,1,2,1,0.63911161
1,2,1,2,1,1,5,2,1,1,2,1,2,0.65557499
1,2,1,2,1,2,6,2,1,1,2,1,2,0.64151571
1,2,1,2,2,1,7,2,2,1,2,2,2,0.68182743
1,2,1,2,2,2,8,2,2,1,2,2,2,0.6686257
1,2,2,1,1,1,9,2,1,2,1,1,1,0.64015636
1,2,2,1,1,2,10,2,1,2,1,1,1,0.64843524
1,2,2,1,2,1,11,2,2,2,1,2,1,0.69167367
1,2,2,1,2,2,12,2,2,2,1,2,1,0.6736518
1,2,2,2,1,1,13,2,1,2,2,1,2,0.6761152
1,2,2,2,1,2,14,2,1,2,2,1,2,0.70461362
1,2,2,2,2,1,15,2,2,2,2,2,2,0.73052368
1,2,2,2,2,2,16,2,2,2,2,2,2,0.71855607
2,1,1,1,1,1,1,3,1,1,1,1,1,0.66142514
2,1,1,1,1,2,2,3,1,1,1,1,1,0.63456596
2,1,1,1,2,1,3,3,2,1,1,2,1,0.63255509
2,1,1,1,2,2,4,3,2,1,1,2,1,0.63359092
2,1,1,2,1,1,5,3,1,1,2,1,2,0.69006727
2,1,1,2,1,2,6,3,1,1,2,1,2,0.6863948
2,1,1,2,2,1,7,3,2,1,2,2,2,0.65716341
2,1,1,2,2,2,8,3,2,1,2,2,2,0.63814448
2,1,2,1,1,1,9,3,1,2,1,1,1,0.67238919
2,1,2,1,1,2,10,3,1,2,1,1,1,0.64340832
2,1,2,1,2,1,11,3,2,2,1,2,1,0.63953705
2,1,2,1,2,2,12,3,2,2,1,2,1,0.63958302
2,1,2,2,1,1,13,3,1,2,2,1,2,0.71039845
2,1,2,2,1,2,14,3,1,2,2,1,2,0.66891513
2,1,2,2,2,1,15,3,2,2,2,2,2,0.70880594
2,1,2,2,2,2,16,3,2,2,2,2,2,0.70880594
2,2,1,1,1,1,1,4,1,1,1,1,1,0.63528574
2,2,1,1,1,2,2,4,1,1,1,1,1,0.64114261
2,2,1,1,2,1,3,4,2,1,1,2,1,0.61362394
2,2,1,1,2,2,4,4,2,1,1,2,1,0.62622729
2,2,1,2,1,1,5,4,1,1,2,1,2,0.6496531
2,2,1,2,1,2,6,4,1,1,2,1,2,0.65088358
2,2,1,2,2,1,7,4,2,1,2,2,2,0.62544071
2,2,1,2,2,2,8,4,2,1,2,2,2,0.65056739
2,2,2,1,1,1,9,4,1,2,1,1,1,0.65333046
2,2,2,1,1,2,10,4,1,2,1,1,1,0.65438957
2,2,2,1,2,1,11,4,2,2,1,2,1,0.63362899
2,2,2,1,2,2,12,4,2,2,1,2,1,0.64026249
2,2,2,2,1,1,13,4,1,2,2,1,2,0.66891261
2,2,2,2,1,2,14,4,1,2,2,1,2,0.67742466
2,2,2,2,2,1,15,4,2,2,2,2,2,0.65850892
2,2,2,2,2,2,16,4,2,2,2,2,2,0.67475494
