"","Set","HalfLeaf","NicPlant","Posn","Lot","DatPlant","AssPosn","Treat","SqrtCount"
"1","1","1","1","1","1","1","1","1",24.9
"2","1","1","1","2","1","2","1","2",12.7
"3","1","1","1","3","1","3","1","3",17.5
"4","1","1","1","4","1","4","1","4",16.1
"5","2","2","1","1","1","1","1","1",18.5
"6","2","2","1","4","1","2","1","2",12.3
"7","2","2","1","2","1","3","1","3",17.2
"8","2","2","1","3","1","4","1","4",19.3
"9","1","1","1","2","1","1","2","2",24.5
"10","1","1","1","1","1","2","2","1",23.1
"11","1","1","1","4","1","3","2","4",22.5
"12","1","1","1","3","1","4","2","3",25.8
"13","2","2","1","2","1","1","2","3",31.6
"14","2","2","1","3","1","2","2","4",24.3
"15","2","2","1","1","1","3","2","1",11.9
"16","2","2","1","4","1","4","2","2",18.2
"17","1","1","1","3","1","1","3","3",30.5
"18","1","1","1","4","1","2","3","4",22.2
"19","1","1","1","1","1","3","3","1",27.7
"20","1","1","1","2","1","4","3","2",14.7
"21","2","2","1","3","1","1","3","4",32.3
"22","2","2","1","2","1","2","3","3",22.8
"23","2","2","1","4","1","3","3","2",23.7
"24","2","2","1","1","1","4","3","1",13.7
"25","1","1","1","4","1","1","4","4",24.6
"26","1","1","1","3","1","2","4","3",17.4
"27","1","1","1","2","1","3","4","2",15
"28","1","1","1","1","1","4","4","1",15.1
"29","2","2","1","4","1","1","4","2",24.4
"30","2","2","1","1","1","2","4","1",17.4
"31","2","2","1","3","1","3","4","4",25.6
"32","2","2","1","2","1","4","4","3",18.2
"33","1","1","2","1","2","1","1","2",28
"34","1","1","2","2","2","2","1","1",11.5
"35","1","1","2","3","2","3","1","4",26.5
"36","1","1","2","4","2","4","1","3",17.1
"37","2","2","2","3","2","1","1","3",18
"38","2","2","2","2","2","2","1","4",21.3
"39","2","2","2","4","2","3","1","1",17.8
"40","2","2","2","1","2","4","1","2",11.1
"41","1","1","2","4","2","1","2","3",21.7
"42","1","1","2","3","2","2","2","4",25.8
"43","1","1","2","2","2","3","2","1",10.4
"44","1","1","2","1","2","4","2","2",25.7
"45","2","2","2","2","2","1","2","4",23.6
"46","2","2","2","3","2","2","2","3",22.2
"47","2","2","2","1","2","3","2","2",15.1
"48","2","2","2","4","2","4","2","1",18.7
"49","1","1","2","3","2","1","3","4",20.1
"50","1","1","2","4","2","2","3","3",32
"51","1","1","2","1","2","3","3","2",34.9
"52","1","1","2","2","2","4","3","1",13.2
"53","2","2","2","1","2","1","3","2",18.6
"54","2","2","2","4","2","2","3","1",26.7
"55","2","2","2","2","2","3","3","4",20.2
"56","2","2","2","3","2","4","3","3",22.3
"57","1","1","2","2","2","1","4","1",14.6
"58","1","1","2","1","2","2","4","2",28.1
"59","1","1","2","4","2","3","4","3",20.7
"60","1","1","2","3","2","4","4","4",20.1
"61","2","2","2","4","2","1","4","1",14.8
"62","2","2","2","1","2","2","4","2",24.3
"63","2","2","2","3","2","3","4","3",22.2
"64","2","2","2","2","2","4","4","4",23
"65","1","1","3","1","3","1","1","3",23.2
"66","1","1","3","2","3","2","1","4",15.4
"67","1","1","3","3","3","3","1","1",12.7
"68","1","1","3","4","3","4","1","2",17.3
"69","2","2","3","4","3","1","1","4",20.3
"70","2","2","3","1","3","2","1","3",14.8
"71","2","2","3","3","3","3","1","2",14.6
"72","2","2","3","2","3","4","1","1",14.9
"73","1","1","3","2","3","1","2","4",24.2
"74","1","1","3","1","3","2","2","3",14.7
"75","1","1","3","4","3","3","2","2",17.2
"76","1","1","3","3","3","4","2","1",25.8
"77","2","2","3","3","3","1","2","2",25.7
"78","2","2","3","2","3","2","2","1",11.7
"79","2","2","3","4","3","3","2","4",15.6
"80","2","2","3","1","3","4","2","3",17.4
"81","1","1","3","3","3","1","3","1",20.8
"82","1","1","3","4","3","2","3","2",21.5
"83","1","1","3","1","3","3","3","3",19.5
"84","1","1","3","2","3","4","3","4",22
"85","2","2","3","2","3","1","3","1",16.1
"86","2","2","3","3","3","2","3","2",23.2
"87","2","2","3","1","3","3","3","3",17.1
"88","2","2","3","4","3","4","3","4",18.7
"89","1","1","3","4","3","1","4","2",27.2
"90","1","1","3","3","3","2","4","1",16.2
"91","1","1","3","2","3","3","4","4",15.7
"92","1","1","3","1","3","4","4","3",27.5
"93","2","2","3","1","3","1","4","3",26.9
"94","2","2","3","4","3","2","4","4",17
"95","2","2","3","2","3","3","4","1",11.7
"96","2","2","3","3","3","4","4","2",18.2
"97","1","1","4","1","4","1","1","4",13.8
"98","1","1","4","2","4","2","1","3",18.4
"99","1","1","4","3","4","3","1","2",13.1
"100","1","1","4","4","4","4","1","1",9.4
"101","2","2","4","2","4","1","1","2",9.2
"102","2","2","4","3","4","2","1","1",21.9
"103","2","2","4","1","4","3","1","4",12.1
"104","2","2","4","4","4","4","1","3",6.8
"105","1","1","4","4","4","1","2","1",15.2
"106","1","1","4","3","4","2","2","2",16.7
"107","1","1","4","2","4","3","2","3",21.5
"108","1","1","4","1","4","4","2","4",13.3
"109","2","2","4","3","4","1","2","1",17
"110","2","2","4","2","4","2","2","2",13.6
"111","2","2","4","4","4","3","2","3",19.2
"112","2","2","4","1","4","4","2","4",16.9
"113","1","1","4","3","4","1","3","2",15.4
"114","1","1","4","4","4","2","3","1",21.1
"115","1","1","4","1","4","3","3","4",18.1
"116","1","1","4","2","4","4","3","3",17.2
"117","2","2","4","4","4","1","3","3",22.3
"118","2","2","4","1","4","2","3","4",18
"119","2","2","4","3","4","3","3","1",13.8
"120","2","2","4","2","4","4","3","2",14.6
"121","1","1","4","2","4","1","4","3",15.6
"122","1","1","4","1","4","2","4","4",19.2
"123","1","1","4","4","4","3","4","1",15
"124","1","1","4","3","4","4","4","2",11.3
"125","2","2","4","1","4","1","4","4",17.5
"126","2","2","4","4","4","2","4","3",19.8
"127","2","2","4","2","4","3","4","2",17.9
"128","2","2","4","3","4","4","4","1",11.3
