Judges,Tables,Occasions,Sessions,Glasses,Plots,WineReps,Bottles,Treatments,Riesling,Sultana,Shiraz,Mataro
1,1,1,1,1,1,1,1,1,12,11.5,13,9.5
1,1,1,1,2,1,2,1,1,15.5,12.5,12.5,7
1,1,1,1,3,1,3,1,1,16,13,15.5,12.5
1,1,1,1,4,2,1,1,2,15,14.5,13,11.5
1,1,1,1,5,2,2,1,2,11.5,14,10.5,9.5
1,1,1,1,6,2,3,1,2,16,16,14.5,9.5
1,1,1,1,7,3,1,1,3,14.5,12,12,9.5
1,1,1,1,8,3,2,1,3,16.5,12,13,8
1,1,1,1,9,3,3,1,3,14,10.5,15.5,10
1,1,1,1,10,4,1,1,4,14.5,14.5,13,13
1,1,1,1,11,4,2,1,4,15,12.5,11,9.5
1,1,1,1,12,4,3,1,4,15,15,15.5,10.5
1,1,1,2,1,1,1,2,1,14,11,12.5,9.5
1,1,1,2,2,1,2,2,1,14,12,12.5,7
1,1,1,2,3,1,3,2,1,16,12,14.5,11
1,1,1,2,4,2,1,2,2,14,14,13,12
1,1,1,2,5,2,2,2,2,14.5,14,11,10
1,1,1,2,6,2,3,2,2,15.5,14.5,16.5,10.5
1,1,1,2,7,3,1,2,3,15.5,11,12,9.5
1,1,1,2,8,3,2,2,3,15,10.5,13.5,8
1,1,1,2,9,3,3,2,3,16,12.5,13.5,10
1,1,1,2,10,4,1,2,4,14.5,13.5,14,12
1,1,1,2,11,4,2,2,4,13.5,14.5,11,10
1,1,1,2,12,4,3,2,4,13.5,15,17,11
1,1,2,1,1,1,1,1,1,14,12.5,13.5,11
1,1,2,1,2,1,2,1,1,15.5,14.5,14,13
1,1,2,1,3,1,3,1,1,15.5,15,15.5,12.5
1,1,2,1,4,2,1,1,2,14.5,11.5,15.5,14
1,1,2,1,5,2,2,1,2,16,12.5,14.5,13
1,1,2,1,6,2,3,1,2,15,15.5,17,13
1,1,2,1,7,3,1,1,3,17,11.5,12,13
1,1,2,1,8,3,2,1,3,14,15,12,15
1,1,2,1,9,3,3,1,3,15,14,15,12.5
1,1,2,1,10,4,1,1,4,15.5,16.5,12.5,15
1,1,2,1,11,4,2,1,4,17.5,13.5,12,14.5
1,1,2,1,12,4,3,1,4,15,16.5,16,13
1,1,2,2,1,1,1,2,1,14.5,11.5,13,13
1,1,2,2,2,1,2,2,1,13.5,12.5,14,15.5
1,1,2,2,3,1,3,2,1,14,14.5,15,12.5
1,1,2,2,4,2,1,2,2,15,16,13.5,14.5
1,1,2,2,5,2,2,2,2,13,12.5,14.5,14
1,1,2,2,6,2,3,2,2,15,16,15.5,13
1,1,2,2,7,3,1,2,3,17,11.5,12,13
1,1,2,2,8,3,2,2,3,14.5,15,13.5,14.5
1,1,2,2,9,3,3,2,3,15,13.5,13,12.5
1,1,2,2,10,4,1,2,4,15,15.5,14,13.5
1,1,2,2,11,4,2,2,4,17.5,12,12,14.5
1,1,2,2,12,4,3,2,4,15,16.5,16.5,14
2,2,1,1,1,1,1,1,1,15,12.5,13,10
2,2,1,1,2,1,2,1,1,15,14.5,14,13
2,2,1,1,3,1,3,1,1,15.5,15,15.5,14
2,2,1,1,4,2,1,1,2,15,16.5,14,14.5
2,2,1,1,5,2,2,1,2,11.5,13.5,12,11.5
2,2,1,1,6,2,3,1,2,15.5,16,15,10.5
2,2,1,1,7,3,1,1,3,14,13,13,10.5
2,2,1,1,8,3,2,1,3,16.5,15.5,14.5,13.5
2,2,1,1,9,3,3,1,3,16.5,13.5,15.5,12.5
2,2,1,1,10,4,1,1,4,14.5,16,14,14.5
2,2,1,1,11,4,2,1,4,17.5,13.5,13.5,12.5
2,2,1,1,12,4,3,1,4,14.5,16.5,17.5,13
2,2,1,2,1,1,1,2,1,16,12.5,13,11
2,2,1,2,2,1,2,2,1,15.5,13.5,14,13
2,2,1,2,3,1,3,2,1,15.5,14,14.5,12
2,2,1,2,4,2,1,2,2,14.5,14,14.5,14
2,2,1,2,5,2,2,2,2,12.5,12.5,12,13
2,2,1,2,6,2,3,2,2,16,16,17,13.5
2,2,1,2,7,3,1,2,3,16,11.5,12,10.5
2,2,1,2,8,3,2,2,3,15.5,15.5,13.5,12
2,2,1,2,9,3,3,2,3,15,13.5,14.5,12
2,2,1,2,10,4,1,2,4,15.5,15.5,16,13.5
2,2,1,2,11,4,2,2,4,17.5,11.5,13.5,13.5
2,2,1,2,12,4,3,2,4,14.5,16.5,17.5,13
2,2,2,1,1,1,1,1,1,14,10,14.5,15
2,2,2,1,2,1,2,1,1,14.5,11,16,15
2,2,2,1,3,1,3,1,1,17.5,10.5,16.5,14
2,2,2,1,4,2,1,1,2,17,11.5,17,15
2,2,2,1,5,2,2,1,2,16,14,15.5,14.5
2,2,2,1,6,2,3,1,2,14.5,12,14,15
2,2,2,1,7,3,1,1,3,15.5,10,14.5,15
2,2,2,1,8,3,2,1,3,14.5,9.5,16.5,14.5
2,2,2,1,9,3,3,1,3,16,10,15,13.5
2,2,2,1,10,4,1,1,4,16,12,16.5,14
2,2,2,1,11,4,2,1,4,13,10.5,16,14
2,2,2,1,12,4,3,1,4,15,12,14,15
2,2,2,2,1,1,1,2,1,15.5,10,14.5,15
2,2,2,2,2,1,2,2,1,17,11,16,14
2,2,2,2,3,1,3,2,1,14.5,10.5,16,14
2,2,2,2,4,2,1,2,2,17,11.5,15,15.5
2,2,2,2,5,2,2,2,2,12,9.5,15.5,15.5
2,2,2,2,6,2,3,2,2,15.5,12,14.5,15
