Judges,Tables,Occasions,Sessions,Glasses,Blocks,Plots,WineReps,Treatments,Score
1,1,1,1,1,1,1,1,1,15
1,1,1,1,2,1,2,1,2,15
1,1,1,1,3,1,3,1,3,16
1,1,1,1,4,1,4,1,4,11
1,1,1,1,5,2,1,1,1,15
1,1,1,1,6,2,2,1,2,16
1,1,1,1,7,2,3,1,3,15
1,1,1,1,8,2,4,1,4,16
1,1,1,2,1,1,1,2,1,18.5
1,1,1,2,2,1,2,2,2,17
1,1,1,2,3,1,3,2,3,20
1,1,1,2,4,1,4,2,4,18
1,1,1,2,5,2,1,2,1,16
1,1,1,2,6,2,2,2,2,18.5
1,1,1,2,7,2,3,2,3,16.5
1,1,1,2,8,2,4,2,4,18.5
1,1,1,3,1,1,1,3,1,16
1,1,1,3,2,1,2,3,2,13
1,1,1,3,3,1,3,3,3,16.5
1,1,1,3,4,1,4,3,4,12.5
1,1,1,3,5,2,1,3,1,11
1,1,1,3,6,2,2,3,2,17.5
1,1,1,3,7,2,3,3,3,18.5
1,1,1,3,8,2,4,3,4,13.5
1,1,1,4,1,1,1,4,1,18
1,1,1,4,2,1,2,4,2,18.5
1,1,1,4,3,1,3,4,3,17
1,1,1,4,4,1,4,4,4,14.5
1,1,1,4,5,2,1,4,1,13.5
1,1,1,4,6,2,2,4,2,17
1,1,1,4,7,2,3,4,3,15
1,1,1,4,8,2,4,4,4,14.5
1,1,1,5,1,1,1,5,1,16
1,1,1,5,2,1,2,5,2,14
1,1,1,5,3,1,3,5,3,16
1,1,1,5,4,1,4,5,4,13.5
1,1,1,5,5,2,1,5,1,13
1,1,1,5,6,2,2,5,2,15.5
1,1,1,5,7,2,3,5,3,17
1,1,1,5,8,2,4,5,4,14
1,1,1,6,1,1,1,6,1,13
1,1,1,6,2,1,2,6,2,15
1,1,1,6,3,1,3,6,3,18
1,1,1,6,4,1,4,6,4,14
1,1,1,6,5,2,1,6,1,15
1,1,1,6,6,2,2,6,2,18
1,1,1,6,7,2,3,6,3,16
1,1,1,6,8,2,4,6,4,17
1,1,2,1,1,1,1,4,1,15.5
1,1,2,1,2,1,2,4,2,16.5
1,1,2,1,3,1,3,4,3,17
1,1,2,1,4,1,4,4,4,17
1,1,2,1,5,2,1,4,1,13.5
1,1,2,1,6,2,2,4,2,17
1,1,2,1,7,2,3,4,3,17.5
1,1,2,1,8,2,4,4,4,17
1,1,2,2,1,1,1,5,1,15.5
1,1,2,2,2,1,2,5,2,18
1,1,2,2,3,1,3,5,3,20
1,1,2,2,4,1,4,5,4,18
1,1,2,2,5,2,1,5,1,15.5
1,1,2,2,6,2,2,5,2,15.5
1,1,2,2,7,2,3,5,3,17
1,1,2,2,8,2,4,5,4,17
1,1,2,3,1,1,1,6,1,14.5
1,1,2,3,2,1,2,6,2,10.5
1,1,2,3,3,1,3,6,3,15
1,1,2,3,4,1,4,6,4,14
1,1,2,3,5,2,1,6,1,9
1,1,2,3,6,2,2,6,2,17
1,1,2,3,7,2,3,6,3,15
1,1,2,3,8,2,4,6,4,13.5
1,1,2,4,1,1,1,1,1,18.5
1,1,2,4,2,1,2,1,2,14
1,1,2,4,3,1,3,1,3,17.5
1,1,2,4,4,1,4,1,4,15
1,1,2,4,5,2,1,1,1,13
1,1,2,4,6,2,2,1,2,16
1,1,2,4,7,2,3,1,3,14.5
1,1,2,4,8,2,4,1,4,17
1,1,2,5,1,1,1,2,1,16.5
1,1,2,5,2,1,2,2,2,15
1,1,2,5,3,1,3,2,3,15.5
1,1,2,5,4,1,4,2,4,16.5
1,1,2,5,5,2,1,2,1,13
1,1,2,5,6,2,2,2,2,15
1,1,2,5,7,2,3,2,3,17
1,1,2,5,8,2,4,2,4,14.5
1,1,2,6,1,1,1,3,1,16
1,1,2,6,2,1,2,3,2,13.5
1,1,2,6,3,1,3,3,3,17
1,1,2,6,4,1,4,3,4,14.5
1,1,2,6,5,2,1,3,1,10.5
1,1,2,6,6,2,2,3,2,15.5
1,1,2,6,7,2,3,3,3,15
1,1,2,6,8,2,4,3,4,13.5
2,2,1,1,1,1,1,1,1,16
2,2,1,1,2,1,2,1,2,17
2,2,1,1,3,1,3,1,3,18.5
2,2,1,1,4,1,4,1,4,18
2,2,1,1,5,2,1,1,1,14.5
2,2,1,1,6,2,2,1,2,15.5
2,2,1,1,7,2,3,1,3,16
2,2,1,1,8,2,4,1,4,17
2,2,1,2,1,1,1,2,1,20
2,2,1,2,2,1,2,2,2,18
2,2,1,2,3,1,3,2,3,17.5
2,2,1,2,4,1,4,2,4,18.5
2,2,1,2,5,2,1,2,1,15
2,2,1,2,6,2,2,2,2,18.5
2,2,1,2,7,2,3,2,3,16
2,2,1,2,8,2,4,2,4,16.5
2,2,1,3,1,1,1,3,1,14
2,2,1,3,2,1,2,3,2,16
2,2,1,3,3,1,3,3,3,14
2,2,1,3,4,1,4,3,4,15.5
2,2,1,3,5,2,1,3,1,11
2,2,1,3,6,2,2,3,2,13.5
2,2,1,3,7,2,3,3,3,12
2,2,1,3,8,2,4,3,4,14
2,2,1,4,1,1,1,4,1,18.5
2,2,1,4,2,1,2,4,2,17
2,2,1,4,3,1,3,4,3,16
2,2,1,4,4,1,4,4,4,14.5
2,2,1,4,5,2,1,4,1,13
2,2,1,4,6,2,2,4,2,15.5
2,2,1,4,7,2,3,4,3,15
2,2,1,4,8,2,4,4,4,14
2,2,1,5,1,1,1,5,1,16.5
2,2,1,5,2,1,2,5,2,15
2,2,1,5,3,1,3,5,3,16.5
2,2,1,5,4,1,4,5,4,14
2,2,1,5,5,2,1,5,1,12
2,2,1,5,6,2,2,5,2,17
2,2,1,5,7,2,3,5,3,17
2,2,1,5,8,2,4,5,4,14
2,2,1,6,1,1,1,6,1,17
2,2,1,6,2,1,2,6,2,15
2,2,1,6,3,1,3,6,3,17
2,2,1,6,4,1,4,6,4,14
